Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2024-08-23,08:56:10,"""CNR8494506""",Completed,"""CID9202816""",Auto,"Khandsa, New Delhi, India","Malviya Nagar, New Delhi, India",13.4,25.8,,,,,,,627.0,13.58,4.9,4.9,Debit Card,,,,
2024-10-21,17:17:25,"""CNR8906825""",Completed,"""CID2610914""",Premier Sedan,"Central Secretariat, New Delhi, India","Inderlok, New Delhi, India",13.1,28.5,,,,,,,416.0,34.02,4.6,5.0,UPI,,,,
2024-09-16,22:08:00,"""CNR1950162""",Completed,"""CID9933542""",Bike,"Ghitorni Village, New Delhi, India","Khan Market, New Delhi, India",5.3,19.6,,,,,,,737.0,48.21,4.1,4.3,UPI,,,,
2024-02-06,09:44:56,"""CNR4096693""",Completed,"""CID4670564""",Auto,"AIIMS, New Delhi, India","Narsinghpur, New Delhi, India",5.1,18.1,,,,,,,316.0,4.85,4.1,4.6,UPI,,,,
2024-06-17,15:45:58,"""CNR2002539""",Completed,"""CID6800553""",Go Mini,"Vaishali, New Delhi, India","Punjabi Bagh, New Delhi, India",7.1,20.4,,,,,,,640.0,41.24,4.0,4.1,UPI,,,28.669427,77.1280011
2024-03-19,17:37:37,"""CNR6568000""",Completed,"""CID8610436""",Auto,"Mayur Vihar, New Delhi, India","Cyber Hub, New Delhi, India",12.1,16.5,,,,,,,136.0,6.56,4.4,4.2,UPI,,,,
2024-06-14,16:24:12,"""CNR9070334""",Completed,"""CID6680340""",Auto,"Udyog Bhawan, New Delhi, India","Dwarka Sector 21, New Delhi, India",7.7,18.9,,,,,,,181.0,19.84,4.2,4.9,Cash,,,28.5696878,77.0643221
2024-09-11,19:29:39,"""CNR2987763""",Completed,"""CID2669710""",Go Mini,"Malviya Nagar, New Delhi, India","Ghitorni Village, New Delhi, India",12.2,28.2,,,,,,,394.0,21.44,4.1,4.7,UPI,,,28.4931214,77.1424868
2024-10-18,18:28:53,"""CNR8962232""",Completed,"""CID1789354""",Go Mini,"Madipur, New Delhi, India","GTB Nagar, New Delhi, India",14.0,30.9,,,,,,,836.0,39.55,4.7,4.4,UPI,,,,
2024-06-07,15:05:35,"""CNR2390352""",Completed,"""CID5432215""",Auto,"Jama Masjid, New Delhi, India","Khan Market, New Delhi, India",8.5,36.9,,,,,,,410.0,34.76,4.0,4.9,Uber Wallet,,,,
2024-07-01,10:51:16,"""CNR3221338""",Completed,"""CID2581698""",Premier Sedan,"IGI Airport, New Delhi, India","Madipur, New Delhi, India",5.6,27.5,,,,,,,401.0,21.97,4.9,4.3,UPI,,,,
2024-12-14,21:27:04,"""CNR9843229""",Completed,"""CID4929303""",Go Sedan,"Punjabi Bagh, New Delhi, India","Mansarovar Park, New Delhi, India",6.1,33.7,,,,,,,264.0,13.64,3.8,4.7,Uber Wallet,,,,
2024-07-29,06:28:22,"""CNR7911434""",Completed,"""CID8465004""",Auto,"Greater Noida, New Delhi, India","Botanical Garden, New Delhi, India",7.0,21.3,,,,,,,183.0,4.5,5.0,4.2,UPI,,,,
